,INDICATOR_CODE,INDICATOR_NAME,SOURCE_NOTE,SOURCE_ORGANIZATION
14,SP.POP.DPND.OL,"Tasa de inactividad por edades, personas de 65 años y más (% de la población en edad de trabajar)","La tasa de inactividad por edad (mayores) es la relación entre las personas dependientes de la tercera edad, mayores de 64, y la población en edad de trabajar, entre 15 y 64 años. Los datos se muestran como la proporción de personas dependientes por 100 personas en edad de trabajar.",Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
15,SP.POP.DPND,Tasa de inactividad por edades (% de la población en edad de trabajar),"La tasa de inactividad por edad es la relación entre las personas dependientes, menores de 15 o mayores de 64 años, y la población en edad de trabajar, entre 15 y 64 años. Los datos se muestran como la proporción de personas dependientes por 100 personas en edad de trabajar.",Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
16,SP.POP.BRTH.MF,Proporción de sexos al nacer (mujeres cada 1000 hombres),Proporción de sexos al nacer (mujeres cada 1000 hombres),Estimaciones del Banco Mundial usando las Perspectivas de población de la Organización de Naciones Unidas 
17,SP.POP.80UP.MA.5Y,"Población de 80 años en adelante, varones (% de la población masculina)",Male population between the ages 80 and above as a percentage of the total male population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
18,SP.POP.80UP.FE.5Y,"Población de 80 años en adelante, mujeres (% de la población femenina)",Female population between the ages 80 and above as a percentage of the total female population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
19,SP.POP.7579.MA.5Y,"Población de 75 a 79 años, varones (% de la población masculina)",Male population between the ages 75 to 79 as a percentage of the total male population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
20,SP.POP.7579.FE.5Y,"Población de 75 a 79 años, mujeres (% de la población femenina)",Female population between the ages 75 to 79 as a percentage of the total female population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
21,SP.POP.7074.MA.5Y,"Población de 70 a 74 años, varones (% de la población masculina)",Male population between the ages 70 to 74 as a percentage of the total male population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
22,SP.POP.7074.FE.5Y,"Población de 70 a 74 años, mujeres (% de la población femenina)",Female population between the ages 70 to 74 as a percentage of the total female population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
23,SP.POP.65UP.TO.ZS,Población de 65 años de edad y más (% del total),"Población mayor de 65 años como porcentaje de la población total. Población se basa en la definición establecida de dicho término, que contabiliza a todos los residentes independientemente de su situación legal o de ciudadanía, excluyendo a los refugiados no asentados permanentemente en el país de acogida, a quienes se les considera usualmente parte de la población de sus respectivos países de origen.",Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
24,SP.POP.65UP.TO,"Población de 65 años de edad y más, total",,
25,SP.POP.65UP.MA.ZS,"Población de 65 años de edad y más, hombres (% del total)",,
26,SP.POP.65UP.MA.IN,"Población de 65 años de edad y más, hombres",,
27,SP.POP.65UP.FE.ZS,"Población de 65 años de edad y más, mujeres (% del total)",,
28,SP.POP.65UP.FE.IN,"Población de 65 años de edad y más, mujeres","Población, 65 años o más, mujeres",Estimaciones del Banco Mundial usando la razón de las Perspectivas de población de la Organización de Naciones Unidas y del Banco Mundial
29,SP.POP.6569.MA.5Y,"Población de 65 a 69 años, varones (% de la población masculina)",Male population between the ages 65 to 69 as a percentage of the total male population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
30,SP.POP.6569.FE.5Y,"Población de 65 a 69 años, mujeres (% de la población femenina)",Female population between the ages 65 to 69 as a percentage of the total female population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
31,SP.POP.6064.MA.5Y,"Población de 50 a 64 años, varones (% de la población masculina)",Male population between the ages 60 to 64 as a percentage of the total male population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
32,SP.POP.6064.FE.5Y,"Población de 50 a 64 años, mujeres (% de la población femenina)",Female population between the ages 60 to 64 as a percentage of the total female population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
33,SP.POP.5559.MA.5Y,"Población de 55 a 59 años, varones (% de la población masculina)",Male population between the ages 55 to 59 as a percentage of the total male population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
34,SP.POP.5559.FE.5Y,"Población de 55 a 59 años, mujeres (% de la población femenina)",Female population between the ages 55 to 59 as a percentage of the total female population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
35,SP.POP.5054.MA.5Y,"Población de 50 a 54 años, varones (% de la población masculina)",Male population between the ages 50 to 54 as a percentage of the total male population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
36,SP.POP.5054.FE.5Y,"Población de 50 a 54 años, mujeres (% de la población femenina)",Female population between the ages 50 to 54 as a percentage of the total female population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
37,SP.POP.4549.MA.5Y,"Población de 45 a 49 años, varones (% de la población masculina)",Male population between the ages 45 to 49 as a percentage of the total male population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
38,SP.POP.4549.FE.5Y,"Población de 45 a 49 años, mujeres (% de la población femenina)",Female population between the ages 45 to 49 as a percentage of the total female population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
39,SP.POP.4044.MA.5Y,"Población de 40 a 44 años, varones (% de la población masculina)",Male population between the ages 40 to 44 as a percentage of the total male population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
40,SP.POP.4044.FE.5Y,"Población de 40 a 44 años, mujeres (% de la población femenina)",Female population between the ages 40 to 44 as a percentage of the total female population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
41,SP.POP.3539.MA.5Y,"Población de 35 a 39 años, varones (% de la población masculina)",Male population between the ages 35 to 39 as a percentage of the total male population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
42,SP.POP.3539.FE.5Y,"Población de 35 a 39 años, mujeres (% de la población femenina)",Female population between the ages 35 to 39 as a percentage of the total female population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
43,SP.POP.3034.MA.5Y,"Población de 30 a 34 años, varones (% de la población masculina)",Male population between the ages 30 to 34 as a percentage of the total male population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
44,SP.POP.3034.FE.5Y,"Población de 30 a 34 años, mujeres (% de la población femenina)",Female population between the ages 30 to 34 as a percentage of the total female population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
45,SP.POP.2529.MA.5Y,"Población de 25 a 29 años, varones (% de la población masculina)",Male population between the ages 25 to 29 as a percentage of the total male population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
46,SP.POP.2529.FE.5Y,"Población de 25 a 29 años, mujeres (% de la población femenina)",Female population between the ages 25 to 29 as a percentage of the total female population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
47,SP.POP.2024.MA.5Y,"Población de 20 a 24 años, varones (% de la población masculina)",Male population between the ages 20 to 24 as a percentage of the total male population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
48,SP.POP.2024.FE.5Y,"Población de 20 a 24 años, mujeres (% de la población femenina)",Female population between the ages 20 to 24 as a percentage of the total female population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
49,SP.POP.1564.TO.ZS,Población entre 15 y 64 años de edad (% del total),La población entre 15 y 64 años es el porcentaje de la población total en el grupo etario de 15 a 64 años. La población se basa en la definición de facto de población.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
50,SP.POP.1564.TO,"Población entre 15 y 64 años de edad, total","Población 15-64 años, total","Organización de Naciones Unidas, División de desarrollo"
51,SP.POP.1564.MA.ZS,"Población entre 15 y 64 años de edad, hombres (% del total)",,
52,SP.POP.1564.MA.IN,"Población entre 15 y 64 años de edad, hombres","Población 15-64 años, hombres",Estimaciones del Banco Mundial usando la razón de las Perspectivas de población de la Organización de Naciones Unidas y del Banco Mundial
53,SP.POP.1564.FE.ZS,"Población entre 15 y 64 años de edad, mujeres (% del total)",,
54,SP.POP.1564.FE.IN,"Población entre 15 y 64 años de edad, mujeres","Población 15-64 años, mujeres",Estimaciones del Banco Mundial usando la razón de las Perspectivas de población de la Organización de Naciones Unidas y del Banco Mundial
55,SP.POP.1519.MA.5Y,"Población de 15 a 19 años, varones (% de la población masculina)",Male population between the ages 15 to 19 as a percentage of the total male population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
56,SP.POP.1519.FE.5Y,"Población de 15 a 19 años, mujeres (% de la población femenina)",Female population between the ages 15 to 19 as a percentage of the total female population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
57,SP.POP.1014.MA.5Y,"Población de 10 a 14 años, varones (% de la población masculina)",Male population between the ages 10 to 14 as a percentage of the total male population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
58,SP.POP.1014.FE.5Y,"Población de 10 a 14 años, mujeres (% de la población femenina)",Female population between the ages 10 to 14 as a percentage of the total female population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
59,SP.POP.0509.MA.5Y,"Población de 5 a 9 años, varones (% de la población masculina)",Male population between the ages 5 to 9 as a percentage of the total male population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
60,SP.POP.0509.FE.5Y,"Población de 5 a 9 años, mujeres (% de la población femenina)",Female population between the ages 5 to 9 as a percentage of the total female population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
61,SP.POP.0014.TO.ZS,Población entre 0 y 14 años de edad (% del total),Población entre 0 y 14 años como porcentaje de la población total. La población se basa en la definición de facto de población.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
62,SP.POP.0014.TO,"Población entre 0 y 14 años de edad, total",,
63,SP.POP.0014.MA.ZS,"Población entre 0 y 14 años de edad, hombres (% del total)",,
64,SP.POP.0014.MA.IN,"Población entre 0 y 14 años de edad, hombres",,
65,SP.POP.0014.FE.ZS,"Población entre 0 y 14 años de edad, mujeres (% del total)",,
66,SP.POP.0014.FE.IN,"Población entre 0 y 14 años de edad, mujeres","Población, 0-14 años, mujeres",Estimaciones del Banco Mundial usando la razón de las Perspectivas de población de la Organización de Naciones Unidas y del Banco Mundial
67,SP.POP.0004.MA.5Y,"Población de 0 a 4 años, varones (% de la población masculina)",Male population between the ages 0 to 4 as a percentage of the total male population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
68,SP.POP.0004.FE.5Y,"Población de 0 a 4 años, mujeres (% de la población femenina)",Female population between the ages 0 to 4 as a percentage of the total female population.,Estimaciones del personal del Banco Mundial sobre la base de la distribución por edades/sexo de las Previsiones Demográficas Mundiales de la División de Población de las Naciones Unidas.
69,SP.MTR.1519.ZS,Madres adolescentes (% de las mujeres entre 15 y 19 años que tuvieron hijos o se encuentran embarazadas en la actualidad),Las madres adolescentes son el porcentaje de mujeres entre 15 y 19 años que ya tuvieron hijos o se encuentran embarazadas en la actualidad.,Encuestas demográficas y de salud realizadas por Macro International.
70,SP.M18.2024.FE.ZS,Mujeres que se casaron por primera vez antes de los 18 (% de mujeres 10-24),Mujeres que se casaron por primera vez antes de los 18 (% de mujeres 10-24),Encuesta de demografía y salud familiar
71,SP.M15.2024.FE.ZS,,,
72,SP.HOU.FEMA.ZS,Hogares encabezados por mujeres (% de hogares con jefa de hogar),Hogares cuyo jefe de hogar es mujer muestra el porcentaje de hogares con una mujer como jefa de hogar.,Encuestas demográficas y de salud realizadas por Macro International.
73,SP.DYN.WFRT,Tasa de fertilidad deseada (nacimientos por cada mujer),La tasa de fecundidad deseada es una estimación de la tasa de fecundidad total si se evitaran todos los nacimientos no deseados.,Encuestas demográficas y de salud realizadas por Macro International.
74,SP.DYN.TO65.MA.ZS,"Supervivencia hasta los 65 años, varones (% de la cohorte)","La supervivencia hasta los 65 años es el porcentaje de una cohorte de recién nacidos que llegaría a los 65 años, sujeta a las tasas de mortalidad actuales específicas por edad.","División de Población de las Naciones Unidas. 2009. Perspectivas de la población mundial: Revisión de 2008. Nueva York, Naciones Unidas, Departamento de Asuntos Económicos y Sociales (cuadros de Excel avanzados). Disponible en: http://esa.un.org/unpd/wpp2008/index.htm."
75,SP.DYN.TO65.FE.ZS,"Supervivencia hasta los 65 años, mujeres (% de la cohorte)","La supervivencia hasta los 65 años es el porcentaje de una cohorte de recién nacidos que llegaría a los 65 años, sujeta a las tasas de mortalidad actuales específicas por edad.","División de Población de las Naciones Unidas. 2009. Perspectivas de la población mundial: Revisión de 2008. Nueva York, Naciones Unidas, Departamento de Asuntos Económicos y Sociales (cuadros de Excel avanzados). Disponible en: http://esa.un.org/unpd/wpp2008/index.htm."
76,SP.DYN.TFRT.IN,"Tasa de fertilidad, total (nacimientos por cada mujer)",La tasa de fertilidad total representa la cantidad de hijos que tendría una mujer si viviera hasta el final de sus años de fertilidad y tuviera hijos de acuerdo con las tasas de fertilidad actuales específicas por edad.,"(1) División de Población de las Naciones Unidas. Perspectivas de la población mundial, (2) Naciones Unidas, Departamento de Asuntos Económicos y Sociales (cuadros de Excel avanzados), (3) Informes de censos y otras publicaciones de estadísticas de oficinas nacionales de estadística, (4) Eurostat: Estadísticas Demográficas, (5) Secretaría de la Comunidad del Pacífico: Programa de Estadísticas y Demografía, (6) Oficina de Censos de los Estados Unidos: Base Internacional de Datos."
77,SP.DYN.LE00.MA.IN,"Esperanza de vida al nacer, varones (años)",La esperanza de vida al nacer indica la cantidad de años que viviría un recién nacido si los patrones de mortalidad vigentes al momento de su nacimiento no cambian a lo largo de la vida del infante.,"(1) División de Población de las Naciones Unidas. Perspectivas de la población mundial, (2) Naciones Unidas, Departamento de Asuntos Económicos y Sociales (cuadros de Excel avanzados), (3) Informes de censos y otras publicaciones de estadísticas de oficinas nacionales de estadística, (4) Eurostat: Estadísticas Demográficas, (5) Secretaría de la Comunidad del Pacífico: Programa de Estadísticas y Demografía, (6) Oficina de Censos de los Estados Unidos: Base Internacional de Datos."
78,SP.DYN.LE00.IN,"Esperanza de vida al nacer, total (años)",La esperanza de vida al nacer indica la cantidad de años que viviría un recién nacido si los patrones de mortalidad vigentes al momento de su nacimiento no cambian a lo largo de la vida del infante.,"Derived from male and female life expectancy at birth. Male and female life expectancy source: (1) United Nations Population Division. 2009. Perspectivas de la población mundial: Revisión de 2008. Nueva York, Naciones Unidas, Departamento de Asuntos Económicos y Sociales (tablas Excel avanzadas), 2) Informes de censo y otras publicaciones estadísticas de oficinas estadísticas nacionales, 3) Eurostat: estadísticas demográficas, 4) Secretaría de la Comunidad del Pacífico: Programa de Estadísticas y Demografía, y 5) Oficina del Censo de los Estados Unidos: Base de datos internacionales."
79,SP.DYN.LE00.FE.IN,"Esperanza de vida al nacer, mujeres (años)",La esperanza de vida al nacer indica la cantidad de años que viviría un recién nacido si los patrones de mortalidad vigentes al momento de su nacimiento no cambian a lo largo de la vida del infante.,"(1) División de Población de las Naciones Unidas. Perspectivas de la población mundial, (2) Naciones Unidas, Departamento de Asuntos Económicos y Sociales (cuadros de Excel avanzados), (3) Informes de censos y otras publicaciones de estadísticas de oficinas nacionales de estadística, (4) Eurostat: Estadísticas Demográficas, (5) Secretaría de la Comunidad del Pacífico: Programa de Estadísticas y Demografía, (6) Oficina de Censos de los Estados Unidos: Base Internacional de Datos."
80,SP.DYN.IMRT.MA.IN,"Tasa de mortalidad infantil, varones (cada 1000 nacimientos vivos)","La tasa de mortalidad infantil es la cantidad de infantes que mueren antes de llegar al año de vida, por cada 1000 nacidos vivos, en un año determinado.","Estimaciones elaboradas por el Grupo Interinstitucional para las Estimaciones sobre Mortalidad Infantil de las Naciones Unidas (Unicef, OMS, Banco Mundial, División de Población del Departamento de Asuntos Económicos y Sociales de las Naciones Unidas) en www.childmortality.org."
81,SP.DYN.IMRT.IN," Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)","La tasa de mortalidad infantil es la cantidad de infantes que mueren antes de llegar al año de vida, por cada 1000 nacidos vivos, en un año determinado.","Level & Trends in Child Mortality. Report 2011. Estimates Developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA, UNPD)."
82,SP.DYN.IMRT.FE.IN,"Tasa de mortalidad infantil, mujeres (cada 1000 nacimientos vivos)","La tasa de mortalidad infantil es la cantidad de infantes que mueren antes de llegar al año de vida, por cada 1000 nacidos vivos, en un año determinado.","Estimaciones elaboradas por el Grupo Interinstitucional para las Estimaciones sobre Mortalidad Infantil de las Naciones Unidas (Unicef, OMS, Banco Mundial, División de Población del Departamento de Asuntos Económicos y Sociales de las Naciones Unidas) en www.childmortality.org."
83,SP.DYN.CONU.ZS,Prevalencia de uso de métodos anticonceptivos (% de mujeres entre 15 y 49 años),La tasa de prevalencia de uso de métodos anticonceptivos es el porcentaje de mujeres que utilizan cualquier método anticonceptivo o cuyas parejas sexuales utilizan cualquier método anticonceptivo. Suele medirse solo para las mujeres casadas de entre 15 y 49 años de edad.,"Encuestas de los hogares, incluidas las encuestas demográficas y de salud de Macro International y las encuestas de Indicadores Múltiples por Conglomerados de UNICEF."
84,SP.DYN.CONM.ZS,"Prevalencia de anticonceptivos, métodos modernos (% de mujeres de 15 a 49 años)","Contraceptive prevalence rate is the percentage of women who are practicing, or whose sexual partners are practicing, at least one modern method of contraception. It is usually measured for women ages 15-49 who are married or in union. Modern methods of contraception include female and male sterilization, oral hormonal pills, the intra-uterine device (IUD), the male condom, injectables, the implant (including Norplant), vaginal barrier methods, the female condom and emergency contraception.","Household surveys, including Demographic and Health Surveys and Multiple Indicator Cluster Surveys. Largely compiled by United Nations Population Division."
85,SP.DYN.CDRT.IN,Tasa de mortalidad en un año (por cada 1.000 personas),"La tasa bruta de mortalidad es la cantidad de muertes en un año, por cada 1000 habitantes, estimada a mitad de año. Si se resta la tasa bruta de mortalidad a la tasa bruta de natalidad ofrece la tasa de incremento natural, que es igual a la tasa de crecimiento de la población en ausencia de migración. ","(1) División de Población de las Naciones Unidas. Perspectivas de la población mundial, (2) Naciones Unidas, Departamento de Asuntos Económicos y Sociales (cuadros de Excel avanzados), (3) Informes de censos y otras publicaciones de estadísticas de oficinas nacionales de estadística, (4) Eurostat: Estadísticas Demográficas, (5) Secretaría de la Comunidad del Pacífico: Programa de Estadísticas y Demografía, (6) Oficina de Censos de los Estados Unidos: Base Internacional de Datos."
86,SP.DYN.CBRT.IN,"Tasa de natalidad, nacidos vivos en un año (por cada 1.000 personas)","La tasa bruta de natalidad indica la cantidad de nacidos vivos en el año, por cada 1000 habitantes, estimada a mitad de año. Si se resta la tasa bruta de mortalidad a la tasa bruta de natalidad ofrece la tasa de incremento natural, que es igual a la tasa de crecimiento de la población en ausencia de migración. ","(1) División de Población de las Naciones Unidas. Perspectivas de la población mundial, (2) Naciones Unidas, Departamento de Asuntos Económicos y Sociales (cuadros de Excel avanzados), (3) Informes de censos y otras publicaciones de estadísticas de oficinas nacionales de estadística, (4) Eurostat: Estadísticas Demográficas, (5) Secretaría de la Comunidad del Pacífico: Programa de Estadísticas y Demografía, (6) Oficina de Censos de los Estados Unidos: Base Internacional de Datos."
87,SP.DYN.AMRT.MA,"Tasa de mortalidad, adultos, varones (por cada 1.000 varones adultos)","La tasa de mortalidad adulta es la probabilidad de morir entre los 15 y los 60 años de edad, es decir, la probabilidad de que una persona de 15 años muera antes de cumplir 60, sujeta a las tasas de mortalidad actuales específicas por edad entre esas edades.","(1) División de Población de las Naciones Unidas. 2009. Perspectivas de la población mundial: Revisión de 2008. Nueva York, Naciones Unidas, Departamento de Asuntos Económicos y Sociales (cuadros de Excel avanzados). Disponible en: http://esa.un.org/unpd/wpp2008/index.htm, (2) Universidad de California, Berkeley e Instituto de Investigación Demográfica Max Planck. Base de datos sobre mortalidad humana. [ www.mortality.org o  www.humanmortality.de]."
