,INDICATOR_CODE,INDICATOR_NAME,SOURCE_NOTE,SOURCE_ORGANIZATION
33,NY.ADJ.NNAT.GN.ZS,Ahorro ajustado: ahorro nacional neto (% del INB),El ahorro nacional neto es igual al ahorro nacional bruto menos el valor del consumo de capital fijo.,"Cálculos del personal del Banco Mundial basados en fuentes y métodos que aparecen en la publicación del Banco Mundial ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (La riqueza variable de las naciones: Medición del desarrollo sostenible en el nuevo milenio) (2011)."
34,NY.ADJ.NNAT.CD,Ahorro ajustado: ahorro nacional neto (US$ actuales),El ahorro nacional neto es igual al ahorro nacional bruto menos el valor del consumo de capital fijo.,"Cálculos del personal del Banco Mundial basados en fuentes y métodos que aparecen en la publicación del Banco Mundial ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (La riqueza variable de las naciones: Medición del desarrollo sostenible en el nuevo milenio) (2011)."
35,NY.ADJ.ICTR.GN.ZS,Ahorro ajustado: ahorro bruto (% del INB),"El ahorro bruto es la diferencia entre el ingreso nacional bruto y el consumo público y privado, más las transferencias corrientes netas.",Archivos de datos sobre las cuentas nacionales del Banco Mundial.
36,NY.ADJ.DPEM.GN.ZS,Ahorro ajustado: daño por emisión de partículas (% del INB),"Particulate emissions damage is the damage due to exposure of a countrys population to ambient concentrations of particulates measuring less than 2.5 microns in diameter (PM2.5), ambient ozone pollution, and indoor concentrations of PM2.5 in households cooking with solid fuels. Damages are calculated as foregone labor income due to premature death. Estimates of health impacts from the Global Burden of Disease Study 2013 are for 1990, 1995, 2000, 2005, 2010, and 2013. Data for other years have been extrapolated from trends in mortality rates.","Los datos sobre los efectos en la salud provocados por la exposición a la contaminación ambiental por PM2,5 y la contaminación del aire en el interior de las viviendas se obtuvieron del Estudio sobre la Carga Mundial de Morbilidad 2013. Los datos son proporcionados por el Instituto para la Medición y Evaluación de la Salud en la Universidad de Washington."
37,NY.ADJ.DPEM.CD,Ahorro ajustado: daño por emisión de partículas (US$ actuales),"Particulate emissions damage is the damage due to exposure of a countrys population to ambient concentrations of particulates measuring less than 2.5 microns in diameter (PM2.5), ambient ozone pollution, and indoor concentrations of PM2.5 in households cooking with solid fuels. Damages are calculated as foregone labor income due to premature death. Estimates of health impacts from the Global Burden of Disease Study 2013 are for 1990, 1995, 2000, 2005, 2010, and 2013. Data for other years have been extrapolated from trends in mortality rates.","Los datos sobre los efectos en la salud provocados por la exposición a la contaminación ambiental por PM2,5 y la contaminación del aire en el interior de las viviendas se obtuvieron del Estudio sobre la Carga Mundial de Morbilidad 2013. Los datos son proporcionados por el Instituto para la Medición y Evaluación de la Salud en la Universidad de Washington."
38,NY.ADJ.DNGY.GN.ZS,Ahorro ajustado: agotamiento de fuentes de energía (% del INB),"El agotamiento de fuentes de energía equivale al producto de la renta unitaria de los recursos y las cantidades físicas de la energía extraída. Comprende petróleo crudo, gas natural y carbón. ","Cálculos del personal del Banco Mundial basados en fuentes y métodos que aparecen en la publicación del Banco Mundial ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (La riqueza variable de las naciones: Medición del desarrollo sostenible en el nuevo milenio) (2011)."
39,NY.ADJ.DNGY.CD,Ahorro ajustado: agotamiento de fuentes de energía (US$ actuales),"El agotamiento de fuentes de energía equivale al producto de la renta unitaria de los recursos y las cantidades físicas de la energía extraída. Comprende petróleo crudo, gas natural y carbón. ","Cálculos del personal del Banco Mundial basados en fuentes y métodos que aparecen en la publicación del Banco Mundial ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (La riqueza variable de las naciones: Medición del desarrollo sostenible en el nuevo milenio) (2011)."
40,NY.ADJ.DMIN.GN.ZS,Ahorro ajustado: agotamiento de minerales (% del INB),"El agotamiento de minerales es igual al producto de la renta unitaria de los recursos y las cantidades físicas de los minerales extraídos. Comprende bauxita, cobre, hierro, plomo, níquel, fosfato, latón, zinc, oro y plata. ","Cálculos del personal del Banco Mundial basados en fuentes y métodos que aparecen en la publicación del Banco Mundial ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (La riqueza variable de las naciones: Medición del desarrollo sostenible en el nuevo milenio) (2011)."
41,NY.ADJ.DMIN.CD,Ahorro ajustado: agotamiento de minerales (US$ actuales),"El agotamiento de minerales es igual al producto de la renta unitaria de los recursos y las cantidades físicas de los minerales extraídos. Comprende bauxita, cobre, hierro, plomo, níquel, fosfato, latón, zinc, oro y plata. ","Cálculos del personal del Banco Mundial basados en fuentes y métodos que aparecen en la publicación del Banco Mundial ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (La riqueza variable de las naciones: Medición del desarrollo sostenible en el nuevo milenio) (2011)."
42,NY.ADJ.DKAP.GN.ZS,Ahorro ajustado: consumo de capital fijo (% del INB),El consumo de capital fijo representa el valor de reposición del capital utilizado en su totalidad durante el proceso de producción.,"Estimaciones del personal del Banco Mundial, de acuerdo con datos extraídos de estadísticas sobre cuentas nacionales de la División de Estadística de las Naciones Unidas."
43,NY.ADJ.DKAP.CD,Ahorro ajustado: consumo de capital fijo (US$ actuales),El consumo de capital fijo representa el valor de reposición del capital utilizado en su totalidad durante el proceso de producción.,"Estimaciones del personal del Banco Mundial, de acuerdo con datos extraídos de estadísticas sobre cuentas nacionales de la División de Estadística de las Naciones Unidas."
44,NY.ADJ.DFOR.GN.ZS,Ahorro ajustado: agotamiento neto de recursos forestales (% del INB),El agotamiento neto de recursos forestales se calcula como el producto de la renta unitaria de los recursos y el excedente de la cosecha de rollizos sobre el crecimiento natural.,"Cálculos del personal del Banco Mundial basados en fuentes y métodos que aparecen en la publicación del Banco Mundial ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (La riqueza variable de las naciones: Medición del desarrollo sostenible en el nuevo milenio) (2011)."
45,NY.ADJ.DFOR.CD,Ahorro ajustado: agotamiento neto de recursos forestales (US$ a precios actuales),El agotamiento neto de recursos forestales se calcula como el producto de la renta unitaria de los recursos y el excedente de la cosecha de rollizos sobre el crecimiento natural.,"Cálculos del personal del Banco Mundial basados en fuentes y métodos que aparecen en la publicación del Banco Mundial ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (La riqueza variable de las naciones: Medición del desarrollo sostenible en el nuevo milenio) (2011)."
46,NY.ADJ.DCO2.GN.ZS,Ahorro ajustado: daño por emisión de dióxido de carbono (% del INB),El daño por emisión de dióxido de carbono se estima en US$20 por tonelada de carbono (daño unitario en dólares de los Estados Unidos de 1995) multiplicado por la cantidad de toneladas de carbono emitidas.,"Estimaciones del personal del Banco Mundial, sobre la base de “Valuing Climate Change: The Economics of the Greenhouse” (1995), de Samuel Fankhauser."
47,NY.ADJ.DCO2.CD,Ahorro ajustado: daño por emisión de dióxido de carbono (US$ actuales),El daño por emisión de dióxido de carbono se estima en US$20 por tonelada de carbono (daño unitario en dólares de los Estados Unidos de 1995) multiplicado por la cantidad de toneladas de carbono emitidas.,"Estimaciones del personal del Banco Mundial, sobre la base de “Valuing Climate Change: The Economics of the Greenhouse” (1995), de Samuel Fankhauser."
48,NY.ADJ.AEDU.GN.ZS,Ahorro ajustado: gasto en educación (% del INB),"El término gastos en educación se refiere a los gastos operativos corrientes en educación, que incluye sueldos y salarios, y excluyen inversiones de capital en edificios y equipos.","Estimaciones del personal del Banco Mundial, de acuerdo con datos extraídos del Statistical Yearbook (anuario estadístico) de la División de Estadística de las Naciones Unidas y de la base de datos en línea del Instituto de Estadística de la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO)."
49,NY.ADJ.AEDU.CD,Ahorro ajustado: gasto en educación (US$ actuales),"El término gastos en educación se refiere a los gastos operativos corrientes en educación, que incluye sueldos y salarios, y excluyen inversiones de capital en edificios y equipos.","Estimaciones del personal del Banco Mundial, de acuerdo con datos extraídos del Statistical Yearbook (anuario estadístico) de la División de Estadística de las Naciones Unidas y de la base de datos en línea del Instituto de Estadística de la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO)."
50,ER.PTD.TOTL.ZS,Áreas protegidas terrestres y marinas (% del total de la superficie territorial),"Las áreas protegidas terrestres son zonas total o parcialmente protegidas de por lo menos 1.000 hectáreas designadas por autoridades nacionales como reservas científicas con acceso público limitado, parques nacionales, monumentos nacionales, reservas naturales o santuarios de la naturaleza, paisajes protegidos y zonas manejadas principalmente para uso sostenible. Las áreas marinas protegidas son zonas de terreno intermareal o submareal, junto con sus aguas suprayacentes y su flora, fauna y características históricas y culturales conexas, que han sido reservadas por ley o por cualquier otro medio eficaz para proteger parte del entorno que encierra o su totalidad. No se incluyen las zonas protegidas conforme a leyes locales o provinciales.","Programa de las Naciones Unidas para el Medio Ambiente y Centro de Seguimiento de la Conservación Mundial, según la recopilación del Instituto de Recursos Mundiales sobre la base de datos de autoridades nacionales, legislación nacional y acuerdos internacionales."
51,ER.MRN.PTMR.ZS,Áreas marinas protegidas (% de las aguas territoriales),"Las áreas marinas protegidas son zonas de terreno intermareal o submareal, junto con sus aguas suprayacentes y su flora, fauna y características históricas y culturales conexas, que han sido reservadas por ley o por cualquier otro medio eficaz para proteger parte del entorno que encierra o su totalidad.","Programa de las Naciones Unidas para el Medio Ambiente y Centro de Seguimiento de la Conservación Mundial, según la recopilación del Instituto de Recursos Mundiales sobre la base de datos de autoridades nacionales, legislación nacional y acuerdos internacionales."
52,ER.LND.PTLD.ZS,Áreas terrestres protegidas (% del área total de la tierra),"Las áreas protegidas terrestres son zonas total o parcialmente protegidas de por lo menos 1.000 hectáreas designadas por autoridades nacionales como reservas científicas con acceso público limitado, parques nacionales, monumentos nacionales, reservas naturales o santuarios de la naturaleza, paisajes protegidos y zonas manejadas principalmente para uso sostenible. Las áreas marinas protegidas son zonas de terreno intermareal o submareal, junto con sus aguas suprayacentes y su flora, fauna y características históricas y  culturales conexas, que han sido reservadas por ley o por cualquier otro medio eficaz para proteger parte del entorno que encierra o su totalidad. No se incluyen las zonas protegidas conforme a leyes locales o provinciales.","Programa de las Naciones Unidas para el Medio Ambiente y Centro de Seguimiento de la Conservación Mundial, según la recopilación del Instituto de Recursos Mundiales sobre la base de datos de autoridades nacionales, legislación nacional y acuerdos internacionales."
53,ER.H2O.INTR.PC,Recursos de agua dulce  internos renovables per cápita (metros cúbicos),Los flujos de recursos de agua dulce internos renovables se refieren a los recursos renovables internos del país (caudales de ríos internos y agua freática originada por lluvias). Los recursos de agua dulce internos renovables per cápita se calculan a partir de las estimaciones de población del Banco Mundial.,"Organización de las Naciones Unidas para la Agricultura y la Alimentación, datos de AQUASTAT."
54,ER.H2O.INTR.K3,"Recursos de agua dulce  internos renovables, total (billones de metros cúbicos)",Los flujos de recursos de agua dulce internos renovables se refieren a los recursos renovables internos del país (caudales de ríos internos y agua freática originada por lluvias).,"Organización de las Naciones Unidas para la Agricultura y la Alimentación, datos de AQUASTAT."
55,ER.H2O.FWTL.ZS,"Extracción anual de agua dulce, total (% de recursos internos)","La extracción anual de agua dulce se refiere al total de extracción de agua, sin contar las pérdidas por evaporación de las cuencas de almacenamiento. La extracción incluye además el agua de las plantas de desalinización en países donde estas son una fuente importante. La extracción puede exceder el 100% del total de recursos renovables en aquellos casos de gran volumen de extracción a partir de acuíferos no renovables o de plantas de desalinización o en que existe una importante reutilización del agua. La extracción para la agricultura y la industria es el total de extracción con fines de riego y la producción animal y para uso industrial directo (incluida la destinada a refrigerar plantas termoeléctricas). La extracción para consumo doméstico incluye agua potable, uso o suministro municipal y uso para servicios públicos, establecimientos comerciales y hogares. Los datos corresponden al año más reciente disponible en el período 1987-2002.","Organización de las Naciones Unidas para la Agricultura y la Alimentación, datos de AQUASTAT."
56,ER.H2O.FWTL.K3,"Extracción anual de agua dulce, total (en billones de metros cúbicos)","La extracción anual de agua dulce se refiere al total de extracción de agua, sin contar las pérdidas por evaporación de las cuencas de almacenamiento. La extracción incluye además el agua de las plantas de desalinización en países donde estas son una fuente importante. La extracción puede exceder el 100% del total de recursos renovables en aquellos casos de gran volumen de extracción a partir de acuíferos no renovables o de plantas de desalinización o en que existe una importante reutilización del agua. La extracción para la agricultura y la industria es el total de extracción con fines de riego y la producción animal y para uso industrial directo (incluida la destinada a refrigerar plantas termoeléctricas). La extracción para consumo doméstico incluye agua potable, uso o suministro municipal y uso para servicios públicos, establecimientos comerciales y hogares. Los datos corresponden al año más reciente disponible en el período 1987-2002.","Organización de las Naciones Unidas para la Agricultura y la Alimentación, datos de AQUASTAT."
57,ER.H2O.FWIN.ZS,Extracción anual de agua dulce para uso industrial (% del total de extracción de agua dulce),"La extracción anual de agua dulce se refiere al total de extracción de agua, sin contar las pérdidas por evaporación de las cuencas de almacenamiento. La extracción incluye además el agua de las plantas de desalinización en países donde estas son una fuente importante. La extracción puede exceder el 100% del total de recursos renovables en aquellos casos de gran volumen de extracción a partir de acuíferos no renovables o de plantas de desalinización o en que existe una importante reutilización del agua. La extracción para la industria es el total de extracción para uso industrial directo (incluida la destinada a refrigerar plantas termoeléctricas). Los datos corresponden al año más reciente disponible en el período 1987-2002.","Organización de las Naciones Unidas para la Agricultura y la Alimentación, datos de AQUASTAT."
58,ER.H2O.FWDM.ZS,Extracción anual de agua dulce para uso doméstico (% del total de extracción de agua dulce),"La extracción anual de agua dulce se refiere al total de extracción de agua, sin contar las pérdidas por evaporación de las cuencas de almacenamiento. La extracción incluye además el agua de las plantas de desalinización en países donde estas son una fuente importante. La extracción puede exceder el 100% del total de recursos renovables en aquellos casos de gran volumen de extracción a partir de acuíferos no renovables o de plantas de desalinización o en que existe una importante reutilización del agua. La extracción para consumo doméstico incluye agua potable, uso o suministro municipal y uso para servicios públicos, establecimientos comerciales y hogares. Los datos corresponden al año más reciente disponible en el período 1987-2002.","Organización de las Naciones Unidas para la Agricultura y la Alimentación, datos de AQUASTAT."
59,ER.H2O.FWAG.ZS,Extracción anual de agua dulce para uso agrícola (% del total de extracción de agua dulce),"La extracción anual de agua dulce se refiere al total de extracción de agua, sin contar las pérdidas por evaporación de las cuencas de almacenamiento. La extracción incluye además el agua de las plantas de desalinización en países donde estas son una fuente importante. La extracción puede exceder el 100% del total de recursos renovables en aquellos casos de gran volumen de extracción a partir de acuíferos no renovables o de plantas de desalinización o en que existe una importante reutilización del agua. La extracción para la agricultura es el total de extracción para riego y para la producción animal. Los datos corresponden al año más reciente disponible en el período 1987-2002.","Organización de las Naciones Unidas para la Agricultura y la Alimentación, datos de AQUASTAT."
60,ER.GDP.FWTL.M3.KD,"Productividad del agua, total (PIB en US$ constantes del año 2010 por metro cúbico de extracción total de agua dulce)",La productividad del agua se calcula como el PIB a precios constantes dividido por la extracción total de agua dulce anual.,"Organización de las Naciones Unidas para la Agricultura y la Alimentación, datos de AQUASTAT y cálculos del PIB del Banco Mundial y de la OCDE."
61,ER.FSH.PROD.MT,Producción pesquera total (toneladas métricas),"Total fisheries production measures the volume of aquatic species caught by a country for all commercial, industrial, recreational and subsistence purposes. The harvest from mariculture, aquaculture and other kinds of fish farming is also included.",Organización para la Alimentación y la Agricultura.
62,ER.FSH.CAPT.MT,Producción de la pesca de captura (toneladas métricas),"Capture fisheries production measures the volume of fish catches landed by a country for all commercial, industrial, recreational and subsistence purposes.",Organización para la Alimentación y la Agricultura.
63,ER.FSH.AQUA.MT,Producción acuícola (toneladas métricas),"Aquaculture is understood to mean the farming of aquatic organisms including fish, molluscs, crustaceans and aquatic plants. Aquaculture production specifically refers to output from aquaculture activities, which are designated for final harvest for consumption.",Food and Agriculture Organization.
64,EN.POP.SLUM.UR.ZS,Población que vive en barrios de tugurios (% de la población urbana),"Population living in slums is the proportion of the urban population living in slum households. A slum household is defined as a group of individuals living under the same roof lacking one or more of the following conditions: access to improved water, access to improved sanitation, sufficient living area, and durability of housing.","ONU HÁBITAT, consultado en la base de datos de los objetivos de desarrollo del milenio de las Naciones Unidas. Los datos están disponibles en el sitio web http://mdgs.un.org/."
65,EN.POP.EL5M.ZS,Población que vive en zonas donde la elevación es inferior a 5 metros (% de la población total),Población por debajo de 5 metros es el porcentaje de la población total que vive en zonas donde la elevación es de 5 metros o menos.,"Centro para la Red Internacional de Información sobre las Ciencias de la Tierra (CIESIN, por sus siglas en inglés), Conjunto de datos Place II."
66,EN.POP.EL5M.UR.ZS,Población urbana que vive en áreas donde la elevación es inferior a 5 metros (% de la población total),"Urban population below 5m is the percentage of the total population, living in areas where the elevation is 5 meters or less.","Centro para la Red Internacional de Información sobre Ciencias de la Tierra (CIESIN)/Universidad de Columbia. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, Nueva York: Centro de Datos y Aplicaciones Socioeconómicas (SEDAC) de la NASA. http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2."
67,EN.POP.EL5M.RU.ZS,Población rural que vive en áreas donde la elevación es inferior a 5 metros (% de la población total),"Rural population below 5m is the percentage of the total population, living in areas where the elevation is 5 meters or less.","Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2."
68,EN.MAM.THRD.NO,"Especies de mamíferos, en peligro","En las especies de mamíferos se excluye a las ballenas y marsopas. Las especies en peligro de extinción son las que la UICN clasifica como amenazadas, vulnerables, exóticas, indeterminadas, fuera de peligro o no suficientemente conocidas.","Programa de las Naciones Unidas para el Medio Ambiente y Centro Mundial de Vigilancia de la Conservación, y Unión Internacional para la Conservación de la Naturaleza, Lista Roja de especies amenazadas."
69,EN.HPT.THRD.NO,"Especies de plantas (superiores), en peligro","Las plantas superiores son especies nativas de plantas vasculares. Las especies en peligro de extinción son las que la UICN clasifica como amenazadas, vulnerables, exóticas, indeterminadas, fuera de peligro o no suficientemente conocidas.","Programa de las Naciones Unidas para el Medio Ambiente y Centro Mundial de Vigilancia de la Conservación, y Unión Internacional para la Conservación de la Naturaleza, Lista Roja de especies amenazadas."
70,EN.FSH.THRD.NO,"Especies de peces, en peligro","Las especies de peces se toman de la base de datos de R. Froese y D. Pauly (eds.). 2008. Las especies en peligro de extinción son las que la UICN clasifica como amenazadas, vulnerables, exóticas, indeterminadas, fuera de peligro o no suficientemente conocidas.","Froese, R. and Pauly, D. (eds). 2008. Base de datos de FishBase, www.fishbase.org."
71,EN.CO2.TRAN.ZS,Emisiones de CO2 originadas por el transporte (% del total de la quema de combustible),"Las emisiones de CO2 originadas por el transporte comprenden las emisiones de la quema de combustible de todas las actividades de transporte, independiente del sector, excepto los búnkers marítimos y la aviación internacional. Comprende la aviación nacional; la navegación nacional, y el transporte terrestre, ferroviario y productos y corresponde a la Categoría de fuente/sumidero 1 A 3 del IPCC. Además, los datos de la AIE no se recopilan de manera de permitir la separación del consumo de autoproductores por uso final especfico. Por lo tanto, los autoproductores se muestran en un templete separado (Autoproductores sin asignar).","Estadsticas AIE © OCDE/AIE, (http://www.iea.org/stats/index.asp), archivos electrnicos de la Agencia Internacional de la Energa sobre emisiones de CO2 originadas por la quema de combustible."
72,EN.CO2.OTHX.ZS,"Emisiones de CO2 originadas por otros sectores, no incluye edificios residenciales y servicios comerciales y pblicos (% del total de la quema de combustible)","Las emisiones de CO2 originadas por otros sectores, salvo los edificios residenciales y servicios comerciales y públicos, consideran las emisiones originadas por actividades comerciales/institucionales, residenciales, agrícolas/forestales, pesca y otras emisiones no especificadas en otra parte que se incluyen en las Categorías de fuente/sumidero 1 A 4 y 1 A 5 del IPCC. En las Directrices del IPCC de 1996, la categoría también incluía las emisiones de autoproductores del sector comercial, residencial y agrícola que generan electricidad y/o calefacción. Los datos de la AIE no se recopilan de manera de permitir la separacin del consumo de energa segn uso final especfico. Por lo tanto, los autoproductores se muestran en un templete separado (Autoproductores sin asignar).","Estadsticas AIE © OCDE/AIE, (http://www.iea.org/stats/index.asp), archivos electrnicos de la Agencia Internacional de la Energa sobre emisiones de CO2 originadas por la quema de combustible."
73,EN.CO2.MANF.ZS,Emisiones de CO2 originadas por la industria manufacturera y la construccin (% del total de la quema de combustible),"Las emisiones de CO2 originadas por la industria manufacturera y la construcción incluyen emisiones de la quema de combustible en la industria. La Categoría de fuente/sumidero 1 A 2 del IPCC incluye estas emisiones. Sin embargo, en las Directrices del IPCC de 1996 la categoría del IPCC también incluye las emisiones de autoproductores industriales que generan electricidad y/o calefacción. Los datos de la AIE no se recopilan de manera de permitir la separación del consumo de energía según uso final especfico. Por lo tanto, los autoproductores se muestran en un templete separado (Autoproductores sin asignar). La industria manufacturera y la construcción también incluyen emisiones de insumos de coque en altos hornos, lo que se puede informar ya sea en el sector de transformación, el sector industrial, o en la Categoría de fuente/sumidero 2 del IPCC, Procesos industriales.","Estadsticas AIE © OCDE/AIE, (http://www.iea.org/stats/index.asp), archivos electrnicos de la Agencia Internacional de la Energa sobre emisiones de CO2 originadas por la quema de combustible."
