,INDICATOR_CODE,INDICATOR_NAME,SOURCE_NOTE,SOURCE_ORGANIZATION
38,SL.FAM.WORK.FE.ZS,"Trabajadores familiares que contribuyen, mujeres (% del empleo femenino)","Los trabajadores que aportan al hogar son aquellos que mantienen ""trabajos por cuenta propia"" como trabajadores independientes en un establecimiento orientado al mercado y atendido por un pariente que vive en el mismo hogar.","Organización Internacional del Trabajo, base de datos de Indicadores principales sobre el mercado laboral."
39,SL.EMP.WORK.MA.ZS,"Trabajadores asalariados (empleados), varones (% del empleo masculino)","Trabajadores asalariados (empleados) son aquellos trabajadores que mantienen el tipo de empleo definido como ""trabajos remunerados"", donde los titulares mantienen contratos de empleo implícitos o explícitos (escritos u orales) que les garantizan una remuneración básica que no depende directamente de los ingresos de la unidad para la que trabajan.","Organización Internacional del Trabajo, base de datos de Indicadores principales sobre el mercado laboral."
40,SL.EMP.WORK.FE.ZS,"Trabajadores asalariados (empleados), mujeres (% del empleo femenino)","Trabajadores asalariados (empleados) son aquellos trabajadores que mantienen el tipo de empleo definido como ""trabajos remunerados"", donde los titulares mantienen contratos de empleo implícitos o explícitos (escritos u orales) que les garantizan una remuneración básica que no depende directamente de los ingresos de la unidad para la que trabajan.","Organización Internacional del Trabajo, base de datos de Indicadores principales sobre el mercado laboral."
41,SL.EMP.VULN.MA.ZS,"Empleo vulnerable, varones (% del empleo masculino)",El empleo vulnerable se refiere a los trabajadores familiares no remunerados y a los trabajadores autónomos como porcentaje del empleo total.,"Organización Internacional del Trabajo, base de datos de Indicadores principales sobre el mercado laboral."
42,SL.EMP.VULN.FE.ZS,"Empleo vulnerable, mujeres (% del empleo femenino)",El empleo vulnerable se refiere a los trabajadores familiares no remunerados y a los trabajadores autónomos como porcentaje del empleo total.,"Organización Internacional del Trabajo, base de datos de Indicadores principales sobre el mercado laboral."
43,SL.EMP.TOTL.SP.MA.ZS,"Relación entre empleo y población, mayores de 15 años, hombres (%) (estimación modelado OIT) ",La relación entre empleo y población es la proporción de la población empleada de un país. Edad 15 años o más se consideran en general la población en edad de trabajar.,"Organización Internacional del Trabajo, base de datos sobre estadísticas de la OIT (ILOSTAT)."
44,SL.EMP.TOTL.SP.FE.ZS,"Relación entre empleo y población, mayores de 15 años, mujeres (%) (estimación modelado OIT) ",La relación entre empleo y población es la proporción de la población empleada de un país. Edad 15 años o más se consideran en general la población en edad de trabajar.,"Organización Internacional del Trabajo, base de datos sobre estadísticas de la OIT (ILOSTAT)."
45,SL.EMP.SELF.MA.ZS,"Independientes, varones (% del empleo masculino)","Los trabajadores por cuenta propia son aquellos que, por su cuenta o con pocos socios o en cooperativa, mantienen el tipo de trabajo que se define como ""empleo por cuenta propia"" (es decir, empleos en los que la remuneración depende directamente de las utilidades que se obtienen de la producción de bienes y servicios). Se incluyen en este grupo tres subcategorías de trabajadores: empleadores, trabajadores por cuenta propia y miembros de cooperativas de productores.","Organización Internacional del Trabajo, base de datos de Indicadores principales sobre el mercado laboral."
46,SL.EMP.SELF.FE.ZS,"Independientes, mujeres (% del empleo femenino)","Los trabajadores por cuenta propia son aquellos que, por su cuenta o con pocos socios o en cooperativa, mantienen el tipo de trabajo que se define como ""empleo por cuenta propia"" (es decir, empleos en los que la remuneración depende directamente de las utilidades que se obtienen de la producción de bienes y servicios). Se incluyen en este grupo tres subcategorías de trabajadores: empleadores, trabajadores por cuenta propia y miembros de cooperativas de productores.","Organización Internacional del Trabajo, base de datos de Indicadores principales sobre el mercado laboral."
47,SL.EMP.MPYR.MA.ZS,"Empleadores, varones (% del empleo masculino)","Empleadores se refiere a aquellos trabajadores que, por cuenta propia o con unos pocos asociados, mantienen el tipo de trabajo que se define como “empleo por cuenta propia”, es decir: trabajos en los que la remuneración depende directamente de las utilidades derivadas de los bienes y servicios producidos, y que, en esta capacidad, han comprometido a una o más personas para trabajar con ellos como empleado(s) de manera continua.","Indicadores clave del mercado de trabajo (KILM, por sus siglas en inglés) de la OIT."
48,SL.EMP.MPYR.FE.ZS,"Empleadores, mujeres (% del empleo femenino)","Empleadores se refiere a aquellos trabajadores que, por cuenta propia o con unos pocos asociados, mantienen el tipo de trabajo que se define como “empleo por cuenta propia”, es decir: trabajos en los que la remuneración depende directamente de las utilidades derivadas de los bienes y servicios producidos, y que, en esta capacidad, han comprometido a una o más personas para trabajar con ellos como empleado(s) de manera continua.","Indicadores clave del mercado de trabajo (KILM, por sus siglas en inglés) de la OIT."
49,SL.EMP.1524.SP.MA.ZS,"Relación empleo y población, edades entre 15 y 24 años, varones (%) (estimación modelado OIT) ",La relación entre empleo y población es la proporción de la población empleada de un país. Suele considerarse que la población joven es la que tiene entre 15 y 24 años de edad.,"Organización Internacional del Trabajo, base de datos sobre estadísticas de la OIT (ILOSTAT)."
50,SL.EMP.1524.SP.FE.ZS,"Relación entre empleo y población, edades entre 15 y 24 años, mujeres (%) (estimación modelado OIT) ",La relación entre empleo y población es la proporción de la población empleada de un país. Suele considerarse que la población joven es la que tiene entre 15 y 24 años de edad.,"Organización Internacional del Trabajo, base de datos sobre estadísticas de la OIT (ILOSTAT)."
51,SL.AGR.EMPL.MA.ZS,"Empleados en agricultura, hombres (% del empleo masculino)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).","Organización Internacional del Trabajo, base de datos de los Indicadores Clave del Mercado de Trabajo."
52,SL.AGR.EMPL.FE.ZS,"Empleados en agricultura, mujeres (% del empleo femenino)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).","Organización Internacional del Trabajo, base de datos de los Indicadores Clave del Mercado de Trabajo."
53,SL.AGR.0714.MA.ZS,"Empleo infantil en la agricultura, varones (% para cada edad de niños entre 7 y 14 años)","El empleo por actividad económica se refiere a la distribución de niños económicamente activos entre las principales categorías industriales (CIIU, Revisión 2 o Revisión 3). La agricultura corresponde a la división 1 (CIIU, Revisión 2) o a las categorías A y B (CIIU, Revisión 3), e incluye la agricultura y la caza, la silvicultura y la extracción de madera, y la pesca. Los niños económicamente activos son los niños que participaron de actividades económicas durante al menos una hora en la semana de referencia del estudio.","Entendiendo el Trabajo Infantil, proyecto basado en datos de la OIT, el UNICEF y el Banco Mundial."
54,SL.AGR.0714.FE.ZS,"Empleo infantil en la agricultura, mujeres (% para cada edad de niñas entre 7 y 14 años)","El empleo por actividad económica se refiere a la distribución de niños económicamente activos entre las principales categorías industriales (CIIU, Revisión 2 o Revisión 3). La agricultura corresponde a la división 1 (CIIU, Revisión 2) o a las categorías A y B (CIIU, Revisión 3), e incluye la agricultura y la caza, la silvicultura y la extracción de madera, y la pesca. Los niños económicamente activos son los niños que participaron de actividades económicas durante al menos una hora en la semana de referencia del estudio.","Entendiendo el Trabajo Infantil, proyecto basado en datos de la OIT, el UNICEF y el Banco Mundial."
55,SH.STA.MMRT.NE,"Tasa de mortalidad maternal (cifras nacionales, por cada 100.000 nacidos vivos)",La tasa de mortalidad materna es la cantidad de mujeres que mueren durante el embarazo y el parto por cada 100.000 nacidos vivos.,"UNICEF, Estado Mundial de la Infancia, Childinfo y encuestas demográficas y de salud realizadas por Macro International."
56,SH.STA.MMRT,"Tasa de mortalidad materna (estimado mediante modelo, por cada 100.000 nacidos vivos)","La tasa de mortalidad materna es la cantidad de mujeres que mueren durante el embarazo y el parto por cada 100.000 nacidos vivos. Los datos se estiman según un modelo de regresión que usa información sobre fertilidad, asistentes para el parto y prevalencia del VIH.","Trends in Maternal Mortality: 1990-2015. Estimates Developed by WHO, UNICEF, UNFPA and the World Bank."
57,SH.STA.MALN.MA.ZS,"Prevalencia de desnutrición, peso para edad, varones (% de niños menores a 5)","Prevalencia de desnutrición, peso para edad, varones (% de niños menores a 5)","Organización Mundial de la Salud, base de datos mundial sobre crecimiento y malnutrición infantil. Los datos a nivel del país son datos no ajustados procedentes de encuestas nacionales y, por lo tanto, no son comparables entre los distintos países."
58,SH.STA.MALN.FE.ZS,"Prevalencia de desnutrición, peso para edad, mujeres (% de niños menores a 5)","Prevalencia de desnutrición, peso para edad, mujeres (% de niños menores a 5)","Organización Mundial de la Salud, base de datos mundial sobre crecimiento y malnutrición infantil. Los datos a nivel del país son datos no ajustados procedentes de encuestas nacionales y, por lo tanto, no son comparables entre los distintos países."
59,SH.STA.BRTC.ZS,Nacimientos asistidos por personal de salud capacitado (% del total),"Los nacimientos asistidos por personal de salud capacitado son el porcentaje de partos asistidos por personal capacitado para suministrar la supervisión, la atención y el asesoramiento necesarios a las mujeres durante el embarazo, el parto y el puerperio; para realizar partos por sí solos; y para cuidar de los recién nacidos.","UNICEF, Estado Mundial de la Infancia, Childinfo y encuestas demográficas y de salud realizadas por Macro International."
60,SH.STA.ANVC.ZS,Embarazadas que reciben atención médica prenatal (%),"Las embarazadas que reciben atención médica prenatal son la proporción de mujeres asistidas al menos una vez durante el embarazo por personal de salud capacitado, por razones relacionadas con el embarazo.","UNICEF, Estado Mundial de la Infancia, Childinfo y encuestas demográficas y de salud realizadas por Macro International."
61,SH.PRV.SMOK.MA,"Prevalencia del hábito de fumar, varones (% de adultos)","Prevalencia del hábito de fumar en varones es el porcentaje de varones de 15 años o más que fuman cualquier forma de tabaco, incluyendo cigarrillos, cigarros y pipas, y excluyendo el tabaco sin humo. Los datos incluyen el tabaquismo diario y no diario.","Organización Mundial de la Salud, fuentes de datos del Observatorio mundial de la salud (http://apps.who.int/ghodata/)."
62,SH.PRV.SMOK.FE,"Prevalencia del hábito de fumar, mujeres (% de adultos)","Prevalencia del hábito de fumar en mujeres es el porcentaje de mujeres de 15 años o más que fuman cualquier forma de tabaco, incluyendo cigarrillos, cigarros y pipas, y excluyendo el tabaco sin humo. Los datos incluyen el tabaquismo diario y no diario.","Organización Mundial de la Salud, fuentes de datos del Observatorio mundial de la salud (http://apps.who.int/ghodata/)."
63,SH.MMR.RISK.ZS,Riesgo de mortalidad materna durante la vida (%),"El riesgo de por vida de mortalidad materna es la probabilidad de que una mujer de 15 años muera en algún momento de su vida por causas relacionadas con la maternidad, bajo el supuesto de que se mantienen los niveles actuales de fertilidad y mortalidad (incluida la mortalidad materna) y se tiene en cuenta la muerte por otras causas.   ","Trends in Maternal Mortality: 1990-2015. Estimates Developed by WHO, UNICEF, UNFPA and the World Bank."
64,SH.MMR.RISK,Riesgo de mortalidad materna a lo largo de la vida (1 en: la tasa varía según el país),"El riesgo de por vida de mortalidad materna es la probabilidad de que una mujer de 15 años muera en algún momento de su vida por causas relacionadas con la maternidad, bajo el supuesto de que se mantienen los niveles actuales de fertilidad y mortalidad (incluida la mortalidad materna) y se tiene en cuenta la muerte por otras causas.   ","Trends in Maternal Mortality: 1990-2015. Estimates Developed by WHO, UNICEF, UNFPA and the World Bank."
65,SH.HIV.1524.MA.ZS,"Prevalencia de VIH, varones (% entre 15 y 24 años de edad)",La prevalencia de VIH es el porcentaje de personas infectadas con VIH. Las tasas de jóvenes son un porcentaje del grupo etario correspondiente.,ONUSIDA estima.
